source_id,channel,date_utc,text,normalized_text,language,label,label_name,source
sample-1001,salud_fake_news,2026-03-18T09:15:00+00:00,URGENTE: comparten en Telegram que una nueva vacuna provoca efectos ocultos. Mira la noticia completa en https://ejemplo.invalid/fake,urgente: comparten en telegram que una nueva vacuna provoca efectos ocultos. mira la noticia completa en url,es,1,fake_news,sample_messages_json
sample-1002,verificacion_periodistica,2026-03-18T10:00:00+00:00,Fact-check: el rumor sobre el cierre de hospitales es falso y se desmiente con datos oficiales.,fact-check: el rumor sobre el cierre de hospitales es falso y se desmiente con datos oficiales.,es,0,verificado_o_neutro,sample_messages_json
sample-1003,global_news_watch,2026-03-18T10:45:00+00:00,"Breaking: viral claim spreads fast across channels, but the source article was fabricated.","breaking: viral claim spreads fast across channels, but the source article was fabricated.",en,1,fake_news,sample_messages_json
synthetic-2001,alerta_bulos_salud,2026-03-20T09:00:00+00:00,Difunden que beber lejia elimina cualquier virus en menos de una hora. Comparte antes de que lo borren.,difunden que beber lejia elimina cualquier virus en menos de una hora. comparte antes de que lo borren.,es,1,fake_news,synthetic_seed
synthetic-2002,verificacion_publica,2026-03-20T09:05:00+00:00,El ministerio desmiente el rumor sobre el cierre inmediato de todos los colegios y publica el calendario oficial.,el ministerio desmiente el rumor sobre el cierre inmediato de todos los colegios y publica el calendario oficial.,es,0,verificado_o_neutro,synthetic_seed
synthetic-2003,politica_viral,2026-03-20T09:10:00+00:00,Urgente: circula una captura falsa sobre un supuesto fraude electoral masivo sin fuente verificable.,urgente: circula una captura falsa sobre un supuesto fraude electoral masivo sin fuente verificable.,es,1,fake_news,synthetic_seed
synthetic-2004,agencia_verifica,2026-03-20T09:20:00+00:00,La imagen viral del hospital inundado pertenece a 2021 y no al temporal de esta semana.,la imagen viral del hospital inundado pertenece a 2021 y no al temporal de esta semana.,es,0,verificado_o_neutro,synthetic_seed
synthetic-2005,global_watch,2026-03-20T09:30:00+00:00,Breaking: a fabricated article claims that a city banned all vaccines overnight with no official decree attached.,breaking: a fabricated article claims that a city banned all vaccines overnight with no official decree attached.,en,1,fake_news,synthetic_seed
synthetic-2006,fact_check_world,2026-03-20T09:40:00+00:00,Fact check: the viral post about bank withdrawals being frozen is false according to the central bank notice.,fact check: the viral post about bank withdrawals being frozen is false according to the central bank notice.,en,0,verificado_o_neutro,synthetic_seed
synthetic-2007,tecnologia_viral,2026-03-20T09:50:00+00:00,"Se comparte que una aplicacion oficial espia automaticamente todos los telefonos, pero el mensaje no aporta ninguna prueba.","se comparte que una aplicacion oficial espia automaticamente todos los telefonos, pero el mensaje no aporta ninguna prueba.",es,1,fake_news,synthetic_seed
synthetic-2008,consumo_verificado,2026-03-20T10:00:00+00:00,La organizacion de consumidores aclara que la supuesta retirada masiva de leche no existe y enlaza el aviso real.,la organizacion de consumidores aclara que la supuesta retirada masiva de leche no existe y enlaza el aviso real.,es,0,verificado_o_neutro,synthetic_seed
synthetic-2009,rumores_locales,2026-03-20T10:10:00+00:00,"Aseguran que el ayuntamiento va a cortar el agua durante un mes entero, pero solo circula un audio anonimo.","aseguran que el ayuntamiento va a cortar el agua durante un mes entero, pero solo circula un audio anonimo.",es,1,fake_news,synthetic_seed
synthetic-2010,servicio_publico,2026-03-20T10:15:00+00:00,La compania electrica confirma que el mensaje sobre un apagado total del pais es un bulo y mantiene el servicio normal.,la compania electrica confirma que el mensaje sobre un apagado total del pais es un bulo y mantiene el servicio normal.,es,0,verificado_o_neutro,synthetic_seed
